time,e Jup calc,e Jup Runge-Kutta,e Jup Bulirsch-Stoer,e Sat calc,e Sat Runge-Kutta,e Sat Bulirsch-Stoer
3140,0.05304712,0.052720978,0.053850404,0.04891383,0.048020902,0.044413247
3150,0.053059894,0.053330136,0.053513612,0.048879083,0.046967741,0.044142398
3160,0.053072657,0.053325649,0.052943432,0.048844321,0.045261231,0.046757777
3170,0.053085409,0.052860557,0.053027706,0.048809542,0.043335707,0.04962187
3180,0.05309815,0.05206659,0.054046625,0.048774748,0.042272658,0.046563145
3190,0.05311088,0.052074513,0.054401212,0.048739938,0.045277557,0.043881906
3200,0.053123598,0.052910072,0.054033531,0.048705112,0.047922303,0.043524972
3210,0.053136305,0.053486306,0.053619408,0.048670271,0.047178039,0.042943575
3220,0.053149001,0.05348504,0.05312928,0.048635414,0.046326129,0.045859891
3230,0.053161685,0.053074248,0.053258382,0.048600541,0.043687597,0.04837804
3240,0.053174359,0.052265988,0.054199709,0.048565652,0.041796052,0.046451864
3250,0.05318702,0.052268693,0.054585569,0.048530748,0.044991641,0.044445811
3260,0.053199671,0.053133352,0.054209815,0.048495829,0.047337204,0.042799747
3270,0.05321231,0.053661959,0.053707021,0.048460894,0.046982827,0.041846839
3280,0.053224939,0.053674745,0.053302265,0.048425943,0.047141108,0.044917324
3290,0.053237555,0.053302672,0.053479949,0.048390977,0.044168915,0.046906089
3300,0.053250161,0.052502095,0.054321225,0.048355995,0.041626942,0.046087251
3310,0.053262755,0.052483499,0.054712301,0.048320998,0.044722863,0.0452032
3320,0.053275338,0.053372492,0.054344373,0.048285985,0.046385518,0.042417783
3330,0.053287909,0.053818289,0.053783906,0.048250957,0.046269476,0.040709727
3340,0.053300469,0.053879067,0.053483737,0.048215914,0.047356651,0.043732706
3350,0.053313018,0.053537573,0.053717565,0.048180855,0.04435515,0.045202115
3360,0.053325556,0.052741754,0.054427485,0.048145781,0.041556361,0.045228146
3370,0.053338082,0.052709368,0.054776055,0.048110691,0.044413314,0.045727427
3380,0.053350597,0.053582519,0.054460897,0.048075587,0.045243322,0.042421983
3390,0.0533631,0.053949622,0.053847597,0.048040467,0.045404706,0.039981766
